CustomerID,Segment,CustomerName,TerritoryID
1,Reseller,A Bike Store,1
2,Reseller,Progressive Sports,1
3,Reseller,Advanced Bike Components,4
4,Reseller,Modular Cycle Systems,4
5,Reseller,Metropolitan Sports Supply,4
6,Reseller,Aerobic Exercise Company,4
7,Reseller,Associated Bikes,1
8,Reseller,Exemplary Cycles,5
9,Reseller,Tandem Bicycle Store,5
10,Reseller,Rural Cycle Emporium,6
11,Reseller,Sharp Bikes,6
12,Reseller,Bikes and Motorbikes,6
13,Reseller,Country Parts Shop,7
14,Reseller,Bicycle Warehouse Inc.,8
15,Reseller,Budget Toy Store,9
16,Reseller,Bulk Discount Store,10
17,Reseller,Trusted Catalog Store,5
18,Reseller,Catalog Store,3
19,Reseller,Center Cycle Shop,1
20,Reseller,Central Discount Store,1
21,Reseller,Chic Department Stores,4
22,Reseller,Travel Systems,3
23,Reseller,Bike World,4
24,Reseller,Eastside Department Store,4
25,Reseller,Coalition Bike Company,4
26,Reseller,Stylish Department Stores,5
27,Reseller,Sports Sales and Rental,5
28,Reseller,Commuter Bicycle Store,6
29,Reseller,Cross-Country Riding Supplies,6
30,Reseller,Cycle Merchants,6
31,Reseller,Wheels Inc.,7
32,Reseller,Precision Gears Inc.,8
33,Reseller,Global Sports Outlet,9
34,Reseller,Cycles Wholesaler & Mfg.,10
35,Reseller,Economic Parts Supply,2
36,Reseller,Exotic Bikes,2
37,Reseller,Two Bike Shops,1
38,Reseller,Finer Mart,1
39,Reseller,Fitness Hotel,3
40,Reseller,Journey Sporting Goods,4
41,Reseller,Distant Inn,4
42,Reseller,Healthy Activity Store,4
43,Reseller,Frugal Bike Shop,1
44,Reseller,Games and Sport Supply Company,5
45,Reseller,Every Bike Shop,5
46,Reseller,Gear-Shift Bikes Limited,6
47,Reseller,Greater Bike Store,6
48,Reseller,Grand Industries,6
49,Reseller,Neighborhood Bicycle Storehouse,7
50,Reseller,Hometown Riding Supplies,8
51,Reseller,Ideal Components,9
52,Reseller,Instruments and Parts Company,10
53,Reseller,Incomparable Bicycle Store,2
54,Reseller,Larger Cycle Shop,2
55,Reseller,Kickstands and Accessories Company,1
56,Reseller,Latest Accessories Sales,1
57,Reseller,Leading Sales & Repair,3
58,Reseller,Largest Bike Store,3
59,Reseller,Locks Company,4
60,Reseller,Main Bicycle Services,4
61,Reseller,Many Bikes Store,4
62,Reseller,Manufacturers Inc,5
63,Reseller,Metro Bike Mart,5
64,Reseller,Metal Clearing House,6
65,Reseller,Metro Manufacturing,6
66,Reseller,Neighborhood Store,6
67,Reseller,Self-Contained Cycle Parts Company,7
68,Reseller,North Bike Company,8
69,Reseller,Online Bike Catalog,9
70,Reseller,Outdoor Aerobic Systems Company,10
71,Reseller,Outdoor Distributors,2
72,Reseller,Outdoor Equipment Store,2
73,Reseller,Outdoor Sports Supply,1
74,Reseller,Parcel Express Delivery Service,1
75,Reseller,Paint Supply,4
76,Reseller,Out-of-the-Way Hotels,3
77,Reseller,Mechanical Products Ltd.,4
78,Reseller,Preferred Bikes,4
79,Reseller,Reasonable Bicycle Sales,3
80,Reseller,Racks and Security Systems,5
81,Reseller,Rally Day Mall,5
82,Reseller,Refined Department Stores,6
83,Reseller,Requisite Part Supply,6
84,Reseller,Rewarding Activities Company,6
85,Reseller,Roadway Bicycle Supply,7
86,Reseller,Bicycle Exporters,8
87,Reseller,Rich Department Store,9
88,Reseller,Closest Bicycle Store,10
89,Reseller,Riverside Company,2
90,Reseller,Sales and Supply Company,5
91,Reseller,Scooters and Bikes Store,1
92,Reseller,Sports Commodities,1
93,Reseller,Stationary Bikes and Stands,4
94,Reseller,Specialty Sports Store,4
95,Reseller,Rural Department Store,4
96,Reseller,More Bikes!,4
97,Reseller,Mountain Bike Center,4
98,Reseller,Superlative Bikes,5
99,Reseller,Unified Sports Company,5
100,Reseller,Up-To-Date Sports,6
101,Reseller,Urban Sports Emporium,6
102,Reseller,National Manufacturing,6
103,Reseller,The Bike Outlet,7
104,Reseller,Very Best Sports Supply,8
105,Reseller,Volume Bike Sellers,9
106,Reseller,West Side Mart,10
107,Reseller,Wholesale Bikes,2
108,Reseller,Wheelsets Storehouse,2
109,Reseller,Travel Sports,1
110,Reseller,Vintage Sport Boutique,1
111,Reseller,Westside Cycle Store,3
112,Reseller,Town Industries,4
113,Reseller,Trendy Department Stores,4
114,Reseller,Two Wheels Cycle Store,4
115,Reseller,Security Racks and Locks Wholesalers,1
116,Reseller,Retirement Activities Association,5
117,Reseller,Pedals Warehouse,5
118,Reseller,Rapid Bikes,6
119,Reseller,Red Bicycle Company,6
120,Reseller,Machines & Cycles Store,6
121,Reseller,Metro Sports Equipment,7
122,Reseller,Off-Price Bike Center,8
123,Reseller,First Supplies,9
124,Reseller,Nearby Sporting Goods,10
125,Reseller,Immediate Repair Shop,2
126,Reseller,Famous Bike Sales and Service,2
127,Reseller,Front Sporting Goods,1
128,Reseller,Demand Distributors,1
129,Reseller,Discount Bicycle Specialists,3
130,Reseller,Elite Bikes,4
131,Reseller,Eighth Bike Store,4
132,Reseller,Another Sporting Goods Company,3
133,Reseller,Commercial Sporting Goods,4
134,Reseller,Budget Bike Company,5
135,Reseller,Wonderful Bikes Inc.,5
136,Reseller,Wholesale Parts,6
137,Reseller,Transportation Options,6
138,Reseller,South Bike Company,6
139,Reseller,Steel Inc.,7
140,Reseller,Teen Discount Store,8
141,Reseller,Rental Gallery,9
142,Reseller,Riding Cycles,10
143,Reseller,Modern Bike Store,2
144,Reseller,Only Bikes and Accessories,2
145,Reseller,Raw Materials Inc,1
146,Reseller,Latest Sports Equipment,1
147,Reseller,Local Hardware Factory,3
148,Reseller,Lots of Bikes Storehouse,3
149,Reseller,Initial Bike Company,3
150,Reseller,Fleet Bikes,4
151,Reseller,Futuristic Bikes,4
152,Reseller,Distance Bikes,5
153,Reseller,Widget Bicycle Specialists,5
154,Reseller,Camping and Sports Store,6
155,Reseller,Corner Bicycle Supply,6
156,Reseller,Metal Processing Company,6
157,Reseller,Ace Bicycle Supply,7
158,Reseller,Rural Sporting Goods,8
159,Reseller,Uncompromising Quality Co,9
160,Reseller,Vigorous Sports Store,10
161,Reseller,Weekend Tours,2
162,Reseller,Tire Company,2
163,Reseller,Sports Merchandise,1
164,Reseller,Suburban Cycle Shop,1
165,Reseller,Third Bike Store,4
166,Reseller,Fitness Toy Store,4
167,Reseller,Farthermost Bike Shop,4
168,Reseller,Economy Bikes Company,4
169,Reseller,Downtown Hotel,1
170,Reseller,Excellent Riding Supplies,5
171,Reseller,Eighty Toy Stores,5
172,Reseller,Certified Sports Supply,6
173,Reseller,Sundry Sporting Goods,6
174,Reseller,Toy Manufacturing Inc,6
175,Reseller,Registered Cycle Store,7
176,Reseller,Rodeway Bike Store,8
177,Reseller,Plastic Products Manufacturers,9
178,Reseller,Rampart Amusement Company,10
179,Reseller,Fourth Bike Store,2
180,Reseller,Full-Service Bike Store,3
181,Reseller,Family Entertainment Center,1
182,Reseller,Another Bicycle Company,1
183,Reseller,This Area Sporting Goods,3
184,Reseller,Go-cart and Bike Specialists,4
185,Reseller,Weekend Bike Tours,4
186,Reseller,Thrilling Bike Tours,4
187,Reseller,Trailblazing Sports,4
188,Reseller,Variety Bike Outlet,5
189,Reseller,Principal Bicycle Supply,5
190,Reseller,Racing Partners,6
191,Reseller,Non-Slip Pedal Company,6
192,Reseller,Nuts and Bolts Mfg.,6
193,Reseller,Perfect Toys,7
194,Reseller,Mechanical Brake Manufacturers,8
195,Reseller,Inexpensive Parts Shop,9
196,Reseller,Exhibition Showroom,10
197,Reseller,"Fabrikam Inc., West",3
198,Reseller,Field Trip Inc,3
199,Reseller,Authorized Bike Sales and Rental,1
200,Reseller,Basic Bike Company,1
201,Reseller,Unsurpassed Bikes,4
202,Reseller,Two-Seater Bikes,4
203,Reseller,Separate Parts Corporation,4
204,Reseller,Traction Tire Company,4
205,Reseller,Rally Master Company Inc,4
206,Reseller,New and Used Bicycles,5
207,Reseller,Lubricant and Grease Suppliers,5
208,Reseller,Professional Cyclists,6
209,Reseller,Purple Bicycle Company,6
210,Reseller,Gasless Cycle Shop,6
211,Reseller,Sports Products Store,7
212,Reseller,Enterprise Center,8
213,Reseller,Fast Bike Works,9
214,Reseller,Exclusive Bicycle Mart,10
215,Reseller,Eleventh Bike Store,2
216,Reseller,Painters Bicycle Specialists,2
217,Reseller,City Manufacturing,1
218,Reseller,Sure & Reliable Sporting Goods,1
219,Reseller,Extras Sporting Goods,3
220,Reseller,Best o' Bikes,3
221,Reseller,Bike Dealers Association,4
222,Reseller,Sample Bike Store,3
223,Reseller,Paints and Solvents Company,3
224,Reseller,Pedal Systems Company,5
225,Reseller,Optimal Bikes,5
226,Reseller,Leisure Activities,6
227,Reseller,"Health Spa, Limited",6
228,Reseller,Home Town Bike Store,6
229,Reseller,Instant Cycle Store,7
230,Reseller,Global Bike Retailers,8
231,Reseller,Helmets and Cycles,9
232,Reseller,Exceptional Cycle Services,10
233,Reseller,Fashionable Department Stores,2
234,Reseller,Eastside Sporting Goods,2
235,Reseller,Certified Bicycle Supply,1
236,Reseller,Closeout Boutique,1
237,Reseller,Client Discount Store,3
238,Reseller,A Great Bicycle Company,3
239,Reseller,Bicycle Merchandise Warehouse,4
240,Reseller,Wire Baskets and Parts,4
241,Reseller,Vale Riding Supplies,4
242,Reseller,Spoke Manufacturers,5
243,Reseller,Recreation Supplies,5
244,Reseller,Retail Discount Store,6
245,Reseller,Leather Seat Factory,6
246,Reseller,Large Bike Shop,6
247,Reseller,Major Amusement Company,7
248,Reseller,Good Bicycle Store,8
249,Reseller,Helpful Sales and Repair Service ,9
250,Reseller,Express Bike Services,10
251,Reseller,Endurance Bikes,2
252,Reseller,Classic Cycle Store,2
253,Reseller,Roving Sports,1
254,Reseller,Safe Cycles Shop,1
255,Reseller,Swift Cycles,4
256,Reseller,Rental Bikes,4
257,Reseller,Number 1 Supply,4
258,Reseller,Quantity Discounts,4
259,Reseller,Highway Bike Shop,4
260,Reseller,Industrial Supplies,5
261,Reseller,Functional Store North,5
262,Reseller,General Industries,6
263,Reseller,Farthest Bike Store,6
264,Reseller,Fasteners & Bolts Outlet,6
265,Reseller,Full Sports Supply,7
266,Reseller,Excellent Bikes,8
267,Reseller,Cycle Parts and Accessories,9
268,Reseller,Channel Outlet,10
269,Reseller,Curbside Universe,2
270,Reseller,Active Transport Inc.,2
271,Reseller,Alternative Vehicles,1
272,Reseller,Metro Cycle Shop,1
273,Reseller,A Typical Bike Shop,4
274,Reseller,Active Systems,3
275,Reseller,Outdoor Sporting Goods,4
276,Reseller,Thrifty Parts and Sales,4
277,Reseller,The Bicycle Accessories Company,4
278,Reseller,Tread Industries,5
279,Reseller,Reliable Brake Systems,5
280,Reseller,Standard Bikes,6
281,Reseller,Petroleum Products Distributors,6
282,Reseller,Quick Parts and Service,6
283,Reseller,Racing Supply Distributors,7
284,Reseller,Nearby Bike Mall,8
285,Reseller,Nearest Bike Store,9
286,Reseller,Number One Bike Co.,10
287,Reseller,Handy Bike Services,3
288,Reseller,Kickstand Sellers,3
289,Reseller,Moderately-Priced Bikes Store,1
290,Reseller,Friendly Bike Shop,1
291,Reseller,Grand Bicycle Stores,4
292,Reseller,Grease and Oil Products Company,4
293,Reseller,Fashionable Bikes and Accessories,1
294,Reseller,Flawless Bike Shop,4
295,Reseller,Engineered Bike Systems,4
296,Reseller,Extreme Toy Store,5
297,Reseller,Blue-Ribbon Bike Company,5
298,Reseller,City Cycling,6
299,Reseller,Citywide Service and Repair,6
300,Reseller,Nice Bikes,6
301,Reseller,Rural Mountain Bike Mart,7
302,Reseller,Best Cycle Store,8
303,Reseller,Seaside Bike Works,9
304,Reseller,Essential Bike Works,10
305,Reseller,Professional Sporting Goods,2
306,Reseller,Work and Play Association,3
307,Reseller,Riding Associates,1
308,Reseller,Rugged Bikes,1
309,Reseller,The Gear Store,4
310,Reseller,Orange Bicycle Company,3
311,Reseller,Principal Bike Company,4
312,Reseller,Resale Services,4
313,Reseller,Metropolitan Manufacturing,4
314,Reseller,One-Piece Handle Bars,5
315,Reseller,Juvenile Sports Equipment,5
316,Reseller,Low Price Cycles,6
317,Reseller,Finer Riding Supplies,6
318,Reseller,First-Rate Outlet,6
319,Reseller,Cycles Sales and Repair,7
320,Reseller,Amalgamated Parts Shop,8
321,Reseller,Second Bike Shop,9
322,Reseller,Tachometers and Accessories,10
323,Reseller,Metro Bike Works,3
324,Reseller,A Bicycle Association,2
325,Reseller,All Cycle Shop,1
326,Reseller,Year-Round Sports,1
327,Reseller,World of Bikes,3
328,Reseller,Totes & Baskets Company,4
329,Reseller,"Unicycles, Bicycles, and Tricycles",4
330,Reseller,The New Bike Store,4
331,Reseller,Technical Parts Manufacturing,4
332,Reseller,Topnotch Bikes,5
333,Reseller,Resident Cycle Shop,5
334,Reseller,Retreat Inn,6
335,Reseller,Scratch-Resistant Finishes Company,6
336,Reseller,Primary Bike Distributors,6
337,Reseller,Recreation Toy Store,7
338,Reseller,Rambling Tours,8
339,Reseller,Major Bicycle Store,9
340,Reseller,Nearby Cycle Shop,10
341,Reseller,Independent Outlet,2
342,Reseller,Leather and Vinyl Manufacturing,2
343,Reseller,Mail-Order Outlet,1
344,Reseller,Fifth Bike Store,1
345,Reseller,Genial Bike Associates,4
346,Reseller,Great Bicycle Supply,3
347,Reseller,Bike Universe,4
348,Reseller,Bold Bike Accessories,3
349,Reseller,Exercise Center,4
350,Reseller,Mountain Emporium,5
351,Reseller,Acclaimed Bicycle Company,5
352,Reseller,Twelfth Bike Store,6
353,Reseller,Two-Wheeled Transit Company,6
354,Reseller,Serious Cycles,6
355,Reseller,Spare Parts Co.,7
356,Reseller,Speedometer Sales,8
357,Reseller,Quality Bike Sales,9
358,Reseller,Mail Market,10
359,Reseller,Mechanical Sports Center,2
360,Reseller,Novelty Bikes,3
361,Reseller,Fitness Supplies,1
362,Reseller,Grand Cycle Store,1
363,Reseller,Immense Manufacturing Company,3
364,Reseller,District Mall,3
365,Reseller,Distinctive Store,4
366,Reseller,Extended Bike Sales,4
367,Reseller,Brown Bicycle Company,4
368,Reseller,Elemental Sporting Goods,5
369,Reseller,Distinctive Cycles Sales & Service,5
370,Reseller,Acceptable Sales & Service,6
371,Reseller,Custom Sales and Service,6
372,Reseller,Top Bike Market,6
373,Reseller,Township Inn,7
374,Reseller,Major Equipment Co,8
375,Reseller,Region Bike Company,9
376,Reseller,Commerce Bicycle Specialists,10
377,Reseller,Grand Sport Boutique,3
378,Reseller,Grown-up Bike Store,2
379,Reseller,Fad Outlet,1
380,Reseller,First Department Stores,1
381,Reseller,Bicycle Lines Distributors,3
382,Reseller,Beneficial Exercises and Activities,4
383,Reseller,Vehicle Shop,4
384,Reseller,Sparkling Paint and Finishes,4
385,Reseller,Sturdy Toys,4
386,Reseller,Touring Services,5
387,Reseller,Racing Association,5
388,Reseller,Road Way Sales and Rental,6
389,Reseller,Sixth Bike Store,6
390,Reseller,Plastic Parts Company,6
391,Reseller,Pretty Bikes and Toys,7
392,Reseller,Primary Cycle Shop,8
393,Reseller,Gears and Parts Company,9
394,Reseller,Little Sports Center,10
395,Reseller,Online Bike Sellers,3
396,Reseller,Executive Gift Store,2
397,Reseller,Capable Sales and Service,1
398,Reseller,Commendable Bikes,1
399,Reseller,Big Cycle Mall,4
400,Reseller,Local Sales and Rental,3
401,Reseller,Brightwork Company,1
402,Reseller,Pro Sporting Goods,4
403,Reseller,Affordable Sports Equipment,4
404,Reseller,Activity Center,5
405,Reseller,Sporting Goods and Bicycle Shop,5
406,Reseller,The Commissary,6
407,Reseller,Workout Emporium,6
408,Reseller,Odometers and Accessories Company,6
409,Reseller,Outdoor Toy Store,7
410,Reseller,Pedaling Components,8
411,Reseller,Kids and Adults Cycle Shop,9
412,Reseller,Leisure Clearing House,10
413,Reseller,Margie's Travel,2
414,Reseller,Grand Discount Store,2
415,Reseller,Imaginary Toys,1
416,Reseller,Impromptu Trips,1
417,Reseller,Genuine Bike Shop,4
418,Reseller,Good Bike Shop,3
419,Reseller,Exertion Activities Club,4
420,Reseller,Extreme Riding Supplies,4
421,Reseller,Fitness Cycling,4
422,Reseller,Consolidated Sales,5
423,Reseller,Bike Rims Company,5
424,Reseller,Bikes for Two,6
425,Reseller,Bikes for Kids and Adults,6
426,Reseller,Custom Accessories Company,6
427,Reseller,Atypical Bike Company,7
428,Reseller,West Wind Distributors,8
429,Reseller,Unusual Bicycle Company,9
430,Reseller,Uttermost Bike Shop,10
431,Reseller,Small Cycle Store,3
432,Reseller,Super Sports Store,2
433,Reseller,Thorough Parts and Repair Services,1
434,Reseller,Road-Way Mart,1
435,Reseller,Satin Finish Company,4
436,Reseller,Sheet Metal Manufacturing,4
